country,year,sex,age,suicides_no,population
Greece,1988,female,55-74 years,50.0,1047200.0
Greece,1988,female,75+ years,21.0,334500.0
Greece,1988,male,15-24 years,37.0,762700.0
Greece,1988,male,25-34 years,52.0,689400.0
Greece,1988,male,35-54 years,72.0,1253500.0
Greece,1988,male,5-14 years,0.0,746700.0
Greece,1988,male,55-74 years,83.0,936100.0
Greece,1988,male,75+ years,44.0,248600.0
Greece,1989,female,15-24 years,7.0,748500.0
Greece,1989,female,25-34 years,16.0,709100.0
Greece,1989,female,35-54 years,28.0,1284000.0
Greece,1989,female,5-14 years,0.0,698700.0
Greece,1989,female,55-74 years,40.0,1068200.0
Greece,1989,female,75+ years,14.0,342500.0
Greece,1989,male,15-24 years,32.0,772200.0
Greece,1989,male,25-34 years,53.0,697700.0
Greece,1989,male,35-54 years,80.0,1257600.0
Greece,1989,male,5-14 years,4.0,738300.0
Greece,1989,male,55-74 years,70.0,956800.0
Greece,1989,male,75+ years,39.0,253900.0
Greece,1990,female,15-24 years,8.0,754700.0
Greece,1990,female,25-34 years,11.0,720200.0
Greece,1990,female,35-54 years,25.0,1288000.0
Greece,1990,female,5-14 years,0.0,689000.0
Greece,1990,female,55-74 years,25.0,1091300.0
Greece,1990,female,75+ years,9.0,349600.0
Greece,1990,male,15-24 years,40.0,782500.0
Greece,1990,male,25-34 years,46.0,709800.0
Greece,1990,male,35-54 years,68.0,1265600.0
Greece,1990,male,5-14 years,3.0,728500.0
Greece,1990,male,55-74 years,68.0,979100.0
Greece,1990,male,75+ years,46.0,258700.0
Greece,1991,female,15-24 years,5.0,760527.0
Greece,1991,female,25-34 years,10.0,730253.0
Greece,1991,female,35-54 years,28.0,1298187.0
Greece,1991,female,5-14 years,0.0,684826.0
Greece,1991,female,55-74 years,26.0,1112085.0
Greece,1991,female,75+ years,15.0,357053.0
Greece,1991,male,15-24 years,31.0,793787.0
Greece,1991,male,25-34 years,38.0,720355.0
Greece,1991,male,35-54 years,81.0,1278307.0
Greece,1991,male,5-14 years,4.0,725045.0
Greece,1991,male,55-74 years,95.0,997515.0
Greece,1991,male,75+ years,48.0,263204.0
Greece,1992,female,15-24 years,4.0,762442.0
Greece,1992,female,25-34 years,10.0,743433.0
Greece,1992,female,35-54 years,18.0,1320640.0
Greece,1992,female,5-14 years,0.0,673524.0
Greece,1992,female,55-74 years,28.0,1130657.0
Greece,1992,female,75+ years,12.0,360940.0
Greece,1992,male,15-24 years,21.0,805482.0
Greece,1992,male,25-34 years,39.0,740417.0
Greece,1992,male,35-54 years,83.0,1302187.0
Greece,1992,male,5-14 years,2.0,715506.0
Greece,1992,male,55-74 years,90.0,1011947.0
Greece,1992,male,75+ years,44.0,266980.0
Greece,1993,female,15-24 years,6.0,763342.0
Greece,1993,female,25-34 years,14.0,756053.0
Greece,1993,female,35-54 years,29.0,1341283.0
Greece,1993,female,5-14 years,1.0,661017.0
Greece,1993,female,55-74 years,37.0,1147442.0
Greece,1993,female,75+ years,17.0,364407.0
Greece,1993,male,15-24 years,29.0,815259.0
Greece,1993,male,25-34 years,49.0,759078.0
Greece,1993,male,35-54 years,97.0,1323751.0
Greece,1993,male,5-14 years,2.0,704342.0
Greece,1993,male,55-74 years,95.0,1025017.0
Greece,1993,male,75+ years,36.0,269414.0
Greece,1994,female,15-24 years,3.0,763995.0
Greece,1994,female,25-34 years,9.0,768618.0
Greece,1994,female,35-54 years,18.0,1361342.0
Greece,1994,female,5-14 years,0.0,648169.0
Greece,1994,female,55-74 years,33.0,1163420.0
Greece,1994,female,75+ years,11.0,367608.0
Greece,1994,male,15-24 years,33.0,823908.0
Greece,1994,male,25-34 years,44.0,776895.0
Greece,1994,male,35-54 years,76.0,1344213.0
Greece,1994,male,5-14 years,2.0,692321.0
Greece,1994,male,55-74 years,88.0,1037789.0
Greece,1994,male,75+ years,38.0,270654.0
Greece,1995,female,15-24 years,6.0,764471.0
Greece,1995,female,25-34 years,11.0,781099.0
Greece,1995,female,35-54 years,15.0,1381050.0
Greece,1995,female,5-14 years,0.0,635118.0
Greece,1995,female,55-74 years,26.0,1178828.0
Greece,1995,female,75+ years,6.0,370628.0
Greece,1995,male,15-24 years,35.0,831423.0
Greece,1995,male,25-34 years,58.0,793826.0
Greece,1995,male,35-54 years,91.0,1363426.0
Greece,1995,male,5-14 years,0.0,679656.0
Greece,1995,male,55-74 years,75.0,1049326.0
Greece,1995,male,75+ years,47.0,272781.0
Greece,1996,female,15-24 years,5.0,763716.0
